ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,symbol,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,bid_px_01,ask_px_01,bid_sz_01,ask_sz_01,bid_ct_01,ask_ct_01,bid_px_02,ask_px_02,bid_sz_02,ask_sz_02,bid_ct_02,ask_ct_02,bid_px_03,ask_px_03,bid_sz_03,ask_sz_03,bid_ct_03,ask_ct_03,bid_px_04,ask_px_04,bid_sz_04,ask_sz_04,bid_ct_04,ask_ct_04,bid_px_05,ask_px_05,bid_sz_05,ask_sz_05,bid_ct_05,ask_ct_05,bid_px_06,ask_px_06,bid_sz_06,ask_sz_06,bid_ct_06,ask_ct_06,bid_px_07,ask_px_07,bid_sz_07,ask_sz_07,bid_ct_07,ask_ct_07,bid_px_08,ask_px_08,bid_sz_08,ask_sz_08,bid_ct_08,ask_ct_08,bid_px_09,ask_px_09,bid_sz_09,ask_sz_09,bid_ct_09,ask_ct_09
2024-12-30T08:00:50.000000000Z,2024-12-30T08:00:50.000000000Z,10,1,29307,A,N,0,1.25,0,0,0,10,6BH5,1.2499,1.2501,33,39,1,4,1.2498,1.2502,48,34,4,2,1.2497,1.2503,42,11,4,1,1.2496,1.2504,280,176,6,3,1.2495,1.2505,37,15,2,6,1.2494,1.2506,37,25,4,3,1.2493,1.2507,30,41,6,7,1.2492,1.2508,45,9,2,5,1.2491,1.2509,30,29,4,6,1.249,1.251,46,6,4,4
2024-12-30T08:00:55.000000000Z,2024-12-30T08:00:55.000000000Z,10,1,29307,A,N,0,1.2499,0,0,0,11,6BH5,1.2498,1.25,47,13,2,3,1.2497,1.2501,46,35,6,5,1.2496,1.2502,33,25,4,6,1.2495,1.2503,34,25,4,7,1.2494,1.2504,26,24,6,5,1.2493,1.2505,44,15,7,7,1.2492,1.2506,17,22,6,1,1.2491,1.2507,36,19,5,2,1.249,1.2508,15,17,1,2,1.2489,1.2509,5,43,3,4
2024-12-30T08:01:00.000000000Z,2024-12-30T08:01:00.000000000Z,10,1,29307,A,N,0,1.2498,0,0,0,12,6BH5,1.2497,1.2499,45,19,7,7,1.2496,1.25,22,26,7,4,1.2495,1.2501,7,37,3,5,1.2494,1.2502,48,13,5,7,1.2493,1.2503,49,32,5,5,1.2492,1.2504,46,26,7,4,1.2491,1.2505,41,43,4,2,1.249,1.2506,29,32,5,7,1.2489,1.2507,10,16,3,3,1.2488,1.2508,6,19,4,5
2024-12-30T08:01:05.000000000Z,2024-12-30T08:01:05.000000000Z,10,1,29307,A,N,0,1.2497,0,0,0,13,6BH5,1.2496,1.2498,14,21,2,4,1.2495,1.2499,34,7,3,4,1.2494,1.25,44,9,4,6,1.2493,1.2501,43,15,5,4,1.2492,1.2502,32,11,7,6,1.2491,1.2503,10,8,7,3,1.249,1.2504,10,30,4,3,1.2489,1.2505,33,24,2,2,1.2488,1.2506,18,40,3,4,1.2487,1.2507,27,25,7,2
2024-12-30T08:01:10.000000000Z,2024-12-30T08:01:10.000000000Z,10,1,29307,A,N,0,1.2498,0,0,0,14,6BH5,1.2497,1.2499,35,29,1,2,1.2496,1.25,7,25,1,6,1.2495,1.2501,20,22,7,3,1.2494,1.2502,49,8,4,7,1.2493,1.2503,5,48,2,7,1.2492,1.2504,40,22,7,7,1.2491,1.2505,43,42,7,7,1.249,1.2506,44,26,1,2,1.2489,1.2507,28,25,5,3,1.2488,1.2508,16,17,6,4
2024-12-30T08:01:15.000000000Z,2024-12-30T08:01:15.000000000Z,10,1,29307,A,N,0,1.2499,0,0,0,15,6BH5,1.2498,1.25,18,35,4,5,1.2497,1.2501,39,14,1,3,1.2496,1.2502,48,11,2,3,1.2495,1.2503,48,26,5,7,1.2494,1.2504,34,24,6,5,1.2493,1.2505,27,9,2,1,1.2492,1.2506,43,31,1,2,1.2491,1.2507,9,19,3,2,1.249,1.2508,13,15,6,4,1.2489,1.2509,39,17,3,4
2024-12-30T08:01:20.000000000Z,2024-12-30T08:01:20.000000000Z,10,1,29307,A,N,0,1.25,0,0,0,16,6BH5,1.2499,1.2501,19,42,1,6,1.2498,1.2502,47,44,6,3,1.2497,1.2503,36,42,1,6,1.2496,1.2504,45,43,1,2,1.2495,1.2505,41,45,7,1,1.2494,1.2506,26,43,2,5,1.2493,1.2507,5,38,3,6,1.2492,1.2508,13,10,7,1,1.2491,1.2509,40,25,3,1,1.249,1.251,39,40,3,5
2024-12-30T08:01:25.000000000Z,2024-12-30T08:01:25.000000000Z,10,1,29307,A,N,0,1.2501,0,0,0,17,6BH5,1.25,1.2502,25,37,7,7,1.2499,1.2503,36,26,3,3,1.2498,1.2504,29,21,7,5,1.2497,1.2505,14,43,6,1,1.2496,1.2506,48,40,3,6,1.2495,1.2507,20,49,4,1,1.2494,1.2508,15,29,7,5,1.2493,1.2509,7,16,3,6,1.2492,1.251,29,21,6,4,1.2491,1.2511,48,6,1,6
2024-12-30T08:01:30.000000000Z,2024-12-30T08:01:30.000000000Z,10,1,29307,A,N,0,1.2502,0,0,0,18,6BH5,1.2501,1.2503,39,40,6,1,1.25,1.2504,8,31,1,7,1.2499,1.2505,26,46,1,1,1.2498,1.2506,48,16,5,5,1.2497,1.2507,35,19,5,3,1.2496,1.2508,12,46,7,2,1.2495,1.2509,47,45,4,3,1.2494,1.251,56,176,2,3,1.2493,1.2511,47,28,2,3,1.2492,1.2512,14,27,7,6
2024-12-30T08:01:35.000000000Z,2024-12-30T08:01:35.000000000Z,10,1,29307,A,N,0,1.2503,0,0,0,19,6BH5,1.2502,1.2504,47,21,2,6,1.2501,1.2505,16,20,7,6,1.25,1.2506,20,38,6,7,1.2499,1.2507,47,11,2,4,1.2498,1.2508,15,47,4,3,1.2497,1.2509,21,38,2,4,1.2496,1.251,39,12,3,6,1.2495,1.2511,28,6,7,6,1.2494,1.2512,18,29,4,4,1.2493,1.2513,9,5,6,3
2024-12-30T08:01:40.000000000Z,2024-12-30T08:01:40.000000000Z,10,1,29307,A,N,0,1.2503,0,0,0,20,6BH5,1.2502,1.2504,34,16,2,2,1.2501,1.2505,33,19,3,4,1.25,1.2506,34,39,1,2,1.2499,1.2507,8,10,3,1,1.2498,1.2508,15,26,4,2,1.2497,1.2509,30,35,5,5,1.2496,1.251,29,38,4,6,1.2495,1.2511,24,33,4,5,1.2494,1.2512,21,9,4,5,1.2493,1.2513,46,19,7,2
2024-12-30T08:01:45.000000000Z,2024-12-30T08:01:45.000000000Z,10,1,29307,A,N,0,1.2503,0,0,0,21,6BH5,1.2502,1.2504,27,47,5,3,1.2501,1.2505,29,15,2,2,1.25,1.2506,13,49,6,6,1.2499,1.2507,47,14,7,7,1.2498,1.2508,44,41,2,7,1.2497,1.2509,45,36,6,6,1.2496,1.251,26,43,1,2,1.2495,1.2511,46,5,5,2,1.2494,1.2512,8,47,3,1,1.2493,1.2513,38,43,7,3
2024-12-30T08:01:50.000000000Z,2024-12-30T08:01:50.000000000Z,10,1,29307,A,N,0,1.2502,0,0,0,22,6BH5,1.2501,1.2503,46,40,1,3,1.25,1.2504,21,11,2,3,1.2499,1.2505,10,35,5,1,1.2498,1.2506,21,16,7,4,1.2497,1.2507,224,112,2,6,1.2496,1.2508,14,43,7,4,1.2495,1.2509,21,15,1,1,1.2494,1.251,13,49,4,4,1.2493,1.2511,7,12,2,6,1.2492,1.2512,10,33,5,4
2024-12-30T08:01:55.000000000Z,2024-12-30T08:01:55.000000000Z,10,1,29307,A,N,0,1.2502,0,0,0,23,6BH5,1.2501,1.2503,23,21,6,4,1.25,1.2504,18,20,5,4,1.2499,1.2505,38,12,4,5,1.2498,1.2506,32,20,2,4,1.2497,1.2507,30,19,4,6,1.2496,1.2508,42,8,1,1,1.2495,1.2509,32,41,7,4,1.2494,1.251,7,48,5,2,1.2493,1.2511,18,27,5,6,1.2492,1.2512,21,34,1,3
2024-12-30T08:02:00.000000000Z,2024-12-30T08:02:00.000000000Z,10,1,29307,A,N,0,1.2502,0,0,0,24,6BH5,1.2501,1.2503,28,29,2,1,1.25,1.2504,37,21,3,7,1.2499,1.2505,43,29,6,5,1.2498,1.2506,38,22,7,1,1.2497,1.2507,31,43,5,3,1.2496,1.2508,43,48,7,7,1.2495,1.2509,39,24,4,1,1.2494,1.251,20,37,7,7,1.2493,1.2511,43,47,4,5,1.2492,1.2512,7,9,4,2
2024-12-30T08:02:05.000000000Z,2024-12-30T08:02:05.000000000Z,10,1,29307,A,N,0,1.2503,0,0,0,25,6BH5,1.2502,1.2504,30,30,7,4,1.2501,1.2505,16,36,2,7,1.25,1.2506,24,24,3,7,1.2499,1.2507,27,42,5,4,1.2498,1.2508,12,15,7,5,1.2497,1.2509,29,26,5,5,1.2496,1.251,33,25,7,5,1.2495,1.2511,28,36,3,3,1.2494,1.2512,30,15,6,2,1.2493,1.2513,9,20,3,6
2024-12-30T08:02:10.000000000Z,2024-12-30T08:02:10.000000000Z,10,1,29307,A,N,0,1.2503,0,0,0,26,6BH5,1.2502,1.2504,15,46,7,7,1.2501,1.2505,21,14,2,4,1.25,1.2506,30,7,3,4,1.2499,1.2507,42,6,3,1,1.2498,1.2508,26,35,7,2,1.2497,1.2509,13,47,2,5,1.2496,1.251,41,11,6,4,1.2495,1.2511,27,48,2,1,1.2494,1.2512,19,36,6,1,1.2493,1.2513,11,40,5,2
2024-12-30T08:02:15.000000000Z,2024-12-30T08:02:15.000000000Z,10,1,29307,A,N,0,1.2503,0,0,0,27,6BH5,1.2502,1.2504,19,19,1,2,1.2501,1.2505,43,42,6,7,1.25,1.2506,34,8,7,7,1.2499,1.2507,49,14,7,2,1.2498,1.2508,28,32,6,4,1.2497,1.2509,23,25,3,6,1.2496,1.251,28,49,3,4,1.2495,1.2511,17,18,3,3,1.2494,1.2512,14,24,4,2,1.2493,1.2513,20,18,5,4
2024-12-30T08:02:20.000000000Z,2024-12-30T08:02:20.000000000Z,10,1,29307,A,N,0,1.2503,0,0,0,28,6BH5,1.2502,1.2504,42,11,5,2,1.2501,1.2505,49,11,1,3,1.25,1.2506,43,25,1,4,1.2499,1.2507,20,14,7,4,1.2498,1.2508,47,10,1,6,1.2497,1.2509,128,320,7,2,1.2496,1.251,45,14,4,3,1.2495,1.2511,7,37,7,4,1.2494,1.2512,14,19,6,4,1.2493,1.2513,40,31,6,6
2024-12-30T08:02:25.000000000Z,2024-12-30T08:02:25.000000000Z,10,1,29307,A,N,0,1.2502,0,0,0,29,6BH5,1.2501,1.2503,38,36,4,6,1.25,1.2504,12,40,5,5,1.2499,1.2505,44,11,4,6,1.2498,1.2506,47,17,7,1,1.2497,1.2507,22,31,6,3,1.2496,1.2508,45,9,7,6,1.2495,1.2509,8,36,3,5,1.2494,1.251,45,48,2,1,1.2493,1.2511,34,32,1,4,1.2492,1.2512,38,37,5,1
2024-12-30T08:02:30.000000000Z,2024-12-30T08:02:30.000000000Z,10,1,29307,A,N,0,1.2502,0,0,0,30,6BH5,1.2501,1.2503,43,48,1,6,1.25,1.2504,14,35,4,3,1.2499,1.2505,49,38,3,4,1.2498,1.2506,312,264,4,4,1.2497,1.2507,33,39,4,5,1.2496,1.2508,20,34,1,2,1.2495,1.2509,17,24,5,1,1.2494,1.251,256,328,5,1,1.2493,1.2511,23,32,3,1,1.2492,1.2512,27,44,2,1
2024-12-30T08:02:35.000000000Z,2024-12-30T08:02:35.000000000Z,10,1,29307,A,N,0,1.2502,0,0,0,31,6BH5,1.2501,1.2503,46,33,2,4,1.25,1.2504,49,35,4,3,1.2499,1.2505,43,34,3,3,1.2498,1.2506,304,144,2,4,1.2497,1.2507,224,376,2,3,1.2496,1.2508,24,46,6,7,1.2495,1.2509,35,39,3,5,1.2494,1.251,5,28,6,2,1.2493,1.2511,11,15,3,4,1.2492,1.2512,20,9,6,6
2024-12-30T08:02:40.000000000Z,2024-12-30T08:02:40.000000000Z,10,1,29307,A,N,0,1.2502,0,0,0,32,6BH5,1.2501,1.2503,41,37,4,6,1.25,1.2504,25,41,6,3,1.2499,1.2505,42,44,4,6,1.2498,1.2506,32,20,3,5,1.2497,1.2507,25,42,6,6,1.2496,1.2508,23,35,4,7,1.2495,1.2509,44,43,3,5,1.2494,1.251,19,16,7,6,1.2493,1.2511,30,41,4,2,1.2492,1.2512,34,34,1,2
2024-12-30T08:02:45.000000000Z,2024-12-30T08:02:45.000000000Z,10,1,29307,A,N,0,1.2502,0,0,0,33,6BH5,1.2501,1.2503,42,36,3,3,1.25,1.2504,11,31,2,1,1.2499,1.2505,11,10,6,5,1.2498,1.2506,6,23,3,5,1.2497,1.2507,42,6,3,2,1.2496,1.2508,27,19,6,4,1.2495,1.2509,12,28,5,1,1.2494,1.251,11,9,2,7,1.2493,1.2511,10,18,2,4,1.2492,1.2512,35,17,4,2
2024-12-30T08:02:50.000000000Z,2024-12-30T08:02:50.000000000Z,10,1,29307,A,N,0,1.2501,0,0,0,34,6BH5,1.25,1.2502,32,16,3,6,1.2499,1.2503,41,25,1,4,1.2498,1.2504,5,17,6,7,1.2497,1.2505,11,7,2,2,1.2496,1.2506,30,7,4,7,1.2495,1.2507,168,336,7,6,1.2494,1.2508,18,41,3,2,1.2493,1.2509,15,19,2,5,1.2492,1.251,44,17,3,1,1.2491,1.2511,20,17,7,6
2024-12-30T08:02:55.000000000Z,2024-12-30T08:02:55.000000000Z,10,1,29307,A,N,0,1.2501,0,0,0,35,6BH5,1.25,1.2502,47,14,1,6,1.2499,1.2503,34,11,2,3,1.2498,1.2504,23,43,5,4,1.2497,1.2505,38,26,6,6,1.2496,1.2506,6,36,3,5,1.2495,1.2507,96,240,3,2,1.2494,1.2508,19,8,4,4,1.2493,1.2509,27,7,7,7,1.2492,1.251,31,20,3,4,1.2491,1.2511,46,6,7,7
2024-12-30T08:03:00.000000000Z,2024-12-30T08:03:00.000000000Z,10,1,29307,A,N,0,1.2501,0,0,0,36,6BH5,1.25,1.2502,31,19,7,5,1.2499,1.2503,13,45,6,1,1.2498,1.2504,24,24,6,6,1.2497,1.2505,11,44,6,2,1.2496,1.2506,22,22,4,5,1.2495,1.2507,41,24,7,2,1.2494,1.2508,17,17,1,4,1.2493,1.2509,48,32,2,5,1.2492,1.251,39,26,2,3,1.2491,1.2511,10,41,7,6
2024-12-30T08:03:05.000000000Z,2024-12-30T08:03:05.000000000Z,10,1,29307,A,N,0,1.2501,0,0,0,37,6BH5,1.25,1.2502,11,6,4,1,1.2499,1.2503,29,22,4,7,1.2498,1.2504,7,33,2,5,1.2497,1.2505,376,72,7,2,1.2496,1.2506,44,10,1,1,1.2495,1.2507,28,14,4,4,1.2494,1.2508,41,20,4,7,1.2493,1.2509,41,5,3,2,1.2492,1.251,200,312,6,5,1.2491,1.2511,16,9,6,1
2024-12-30T08:03:10.000000000Z,2024-12-30T08:03:10.000000000Z,10,1,29307,A,N,0,1.2501,0,0,0,38,6BH5,1.25,1.2502,13,39,1,6,1.2499,1.2503,43,40,2,5,1.2498,1.2504,39,21,5,6,1.2497,1.2505,36,15,1,5,1.2496,1.2506,37,34,5,2,1.2495,1.2507,7,33,2,5,1.2494,1.2508,38,41,2,1,1.2493,1.2509,5,8,7,6,1.2492,1.251,38,5,5,6,1.2491,1.2511,26,20,4,4
2024-12-30T08:03:15.000000000Z,2024-12-30T08:03:15.000000000Z,10,1,29307,A,N,0,1.25,0,0,0,39,6BH5,1.2499,1.2501,10,29,2,2,1.2498,1.2502,21,39,4,4,1.2497,1.2503,36,23,4,1,1.2496,1.2504,6,25,4,4,1.2495,1.2505,26,6,1,3,1.2494,1.2506,24,42,4,1,1.2493,1.2507,38,36,3,2,1.2492,1.2508,7,29,4,4,1.2491,1.2509,48,12,5,3,1.249,1.251,31,45,4,6
2024-12-30T08:03:20.000000000Z,2024-12-30T08:03:20.000000000Z,10,1,29307,A,N,0,1.2499,0,0,0,40,6BH5,1.2498,1.25,36,32,4,2,1.2497,1.2501,22,16,3,1,1.2496,1.2502,42,18,2,1,1.2495,1.2503,9,38,3,7,1.2494,1.2504,21,30,6,3,1.2493,1.2505,24,10,3,6,1.2492,1.2506,28,21,2,4,1.2491,1.2507,22,20,4,7,1.249,1.2508,37,28,5,7,1.2489,1.2509,37,35,2,7
2024-12-30T08:03:25.000000000Z,2024-12-30T08:03:25.000000000Z,10,1,29307,A,N,0,1.2499,0,0,0,41,6BH5,1.2498,1.25,5,25,1,5,1.2497,1.2501,14,13,4,4,1.2496,1.2502,11,15,5,6,1.2495,1.2503,19,10,5,2,1.2494,1.2504,20,49,3,1,1.2493,1.2505,32,7,2,5,1.2492,1.2506,33,7,1,7,1.2491,1.2507,38,37,1,3,1.249,1.2508,20,37,1,1,1.2489,1.2509,22,20,7,4
2024-12-30T08:03:30.000000000Z,2024-12-30T08:03:30.000000000Z,10,1,29307,A,N,0,1.2499,0,0,0,42,6BH5,1.2498,1.25,7,19,6,7,1.2497,1.2501,22,27,3,3,1.2496,1.2502,21,36,6,1,1.2495,1.2503,18,19,4,4,1.2494,1.2504,45,38,6,5,1.2493,1.2505,9,34,5,2,1.2492,1.2506,47,17,3,1,1.2491,1.2507,18,48,6,2,1.249,1.2508,192,304,7,7,1.2489,1.2509,19,21,3,2
2024-12-30T08:03:35.000000000Z,2024-12-30T08:03:35.000000000Z,10,1,29307,A,N,0,1.2499,0,0,0,43,6BH5,1.2498,1.25,35,8,1,3,1.2497,1.2501,21,24,1,7,1.2496,1.2502,23,19,1,5,1.2495,1.2503,49,36,6,3,1.2494,1.2504,42,30,4,1,1.2493,1.2505,37,31,5,5,1.2492,1.2506,22,35,6,2,1.2491,1.2507,46,15,2,5,1.249,1.2508,24,21,1,2,1.2489,1.2509,28,8,4,7
2024-12-30T08:03:40.000000000Z,2024-12-30T08:03:40.000000000Z,10,1,29307,A,N,0,1.25,0,0,0,44,6BH5,1.2499,1.2501,56,104,2,4,1.2498,1.2502,8,13,1,1,1.2497,1.2503,39,14,4,2,1.2496,1.2504,112,176,1,6,1.2495,1.2505,39,22,1,5,1.2494,1.2506,9,49,6,4,1.2493,1.2507,11,31,1,6,1.2492,1.2508,21,45,4,5,1.2491,1.2509,9,43,1,4,1.249,1.251,64,160,5,6
2024-12-30T08:03:45.000000000Z,2024-12-30T08:03:45.000000000Z,10,1,29307,A,N,0,1.2499,0,0,0,45,6BH5,1.2498,1.25,39,29,1,5,1.2497,1.2501,16,37,7,7,1.2496,1.2502,17,39,3,1,1.2495,1.2503,29,49,2,1,1.2494,1.2504,49,26,6,6,1.2493,1.2505,24,22,5,2,1.2492,1.2506,41,33,6,7,1.2491,1.2507,29,48,4,6,1.249,1.2508,41,20,7,5,1.2489,1.2509,36,13,5,5
2024-12-30T08:03:50.000000000Z,2024-12-30T08:03:50.000000000Z,10,1,29307,A,N,0,1.2498,0,0,0,46,6BH5,1.2497,1.2499,22,23,4,2,1.2496,1.25,16,22,3,6,1.2495,1.2501,18,49,5,2,1.2494,1.2502,37,23,4,4,1.2493,1.2503,272,88,3,5,1.2492,1.2504,29,42,2,1,1.2491,1.2505,29,18,6,6,1.249,1.2506,22,14,3,3,1.2489,1.2507,27,29,1,2,1.2488,1.2508,36,24,1,1
2024-12-30T08:03:55.000000000Z,2024-12-30T08:03:55.000000000Z,10,1,29307,A,N,0,1.2498,0,0,0,47,6BH5,1.2497,1.2499,29,24,1,2,1.2496,1.25,35,5,4,4,1.2495,1.2501,7,38,6,3,1.2494,1.2502,37,15,5,5,1.2493,1.2503,22,24,4,4,1.2492,1.2504,44,32,5,2,1.2491,1.2505,14,33,6,7,1.249,1.2506,30,36,7,6,1.2489,1.2507,28,35,4,2,1.2488,1.2508,14,10,7,5
2024-12-30T08:04:00.000000000Z,2024-12-30T08:04:00.000000000Z,10,1,29307,A,N,0,1.2498,0,0,0,48,6BH5,1.2497,1.2499,12,7,7,6,1.2496,1.25,49,19,7,7,1.2495,1.2501,7,34,2,6,1.2494,1.2502,40,7,5,1,1.2493,1.2503,12,30,2,4,1.2492,1.2504,14,43,5,7,1.2491,1.2505,25,32,6,1,1.249,1.2506,49,48,1,5,1.2489,1.2507,7,30,7,1,1.2488,1.2508,27,12,6,4
2024-12-30T08:04:05.000000000Z,2024-12-30T08:04:05.000000000Z,10,1,29307,A,N,0,1.2498,0,0,0,49,6BH5,1.2497,1.2499,10,37,4,2,1.2496,1.25,47,21,1,4,1.2495,1.2501,32,21,4,4,1.2494,1.2502,9,9,6,6,1.2493,1.2503,21,13,7,6,1.2492,1.2504,20,40,2,5,1.2491,1.2505,16,40,2,4,1.249,1.2506,44,10,4,6,1.2489,1.2507,31,49,5,5,1.2488,1.2508,39,46,7,4
2024-12-30T08:04:10.000000000Z,2024-12-30T08:04:10.000000000Z,10,1,29307,A,N,0,1.2499,0,0,0,50,6BH5,1.2498,1.25,28,35,6,1,1.2497,1.2501,41,17,1,3,1.2496,1.2502,39,23,5,4,1.2495,1.2503,44,44,7,3,1.2494,1.2504,33,20,6,6,1.2493,1.2505,25,40,6,6,1.2492,1.2506,7,40,5,5,1.2491,1.2507,15,46,7,3,1.249,1.2508,10,6,2,1,1.2489,1.2509,18,14,5,1
2024-12-30T08:04:15.000000000Z,2024-12-30T08:04:15.000000000Z,10,1,29307,A,N,0,1.25,0,0,0,51,6BH5,1.2499,1.2501,16,36,1,6,1.2498,1.2502,9,36,5,1,1.2497,1.2503,8,34,1,1,1.2496,1.2504,48,40,2,7,1.2495,1.2505,37,40,1,7,1.2494,1.2506,9,44,7,3,1.2493,1.2507,17,30,6,3,1.2492,1.2508,26,20,5,4,1.2491,1.2509,22,6,6,2,1.249,1.251,12,15,4,4
